lon,lat,id,nombre,calle,altura,calle2,direccion,telefonos,observaciones,observaciones_2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3732447121941,-34.6019061749623,1,Comisaria Vecinal 1-D,Lavalle,451,,LAVALLE 451,4322-8033/8221,,NA,SAN NICOLAS,1,1047,C1047AAI
-58.4249262384203,-34.6286410416508,37,Comisaria Vecinal 5-B,Muñiz,1250,,MUÑIZ 1250,4922-1229 /4922-3333,,NA,BOEDO,5,1255,C1255ACD
-58.4395014329687,-34.608978570123,39,Comisaria Vecinal 6-A,Diaz Velez,5152,,AVENIDA DIAZ VELEZ 5152,4982-4509/4520,,NA,CABALLITO,6,1405,C1405DCT
-58.4480872125897,-34.6267799123199,8,Comisaria Vecinal 7-B,Valle,1454,,VALLE 1454,4432-3334/3922,"Ubicada en comuna 6, dependencia comuna 7",NA,CABALLITO,6,1406,C1406GTH
-58.4532210423583,-34.6203822656691,38,Comisaria Comunal 6,Avellaneda,1548,,AVELLANEDA AV. 1548,4632-9051/9129,,NA,CABALLITO,6,1406,C1406FYN
-58.3801780189881,-34.5946429122572,10,Comisaria Comunal 1,Suipacha,1156,,SUIPACHA 1156,4393-0076/3333/7058,,NA,RETIRO,1,1008,C1008AAX
-58.3856077728846,-34.6226700503651,43,Comisaria Vecinal 1-C (edificio anexo),San Jose,1224,,SAN JOSE 1224,4306-3333/4067,,NA,CONSTITUCION,1,1136,C1136AAB
-58.3923585768206,-34.5911369458734,11,Comisaria Comunal 2,Las Heras Gral.,1861,,AVENIDA GENERAL LAS HERAS 1861,4801-1698/3333,,NA,RECOLETA,2,1127,C1127AAA
-58.3907486682826,-34.622586758776,42,Comisaria Vecinal 1-C,Av. San Juan,1757,,AVENIDA SAN JUAN 1757,4304-3203/4300 /4305-3333,,NA,CONSTITUCION,1,1148,C1148AAF
-58.4067192920302,-34.5940785225935,29,Comisaria Vecinal 2-B,Charcas,2844,,CHARCAS 2844,4822-3333/6311,,NA,RECOLETA,2,1425,C1425BMH
-58.3741471240845,-34.620278488629,2,Comisaria Vecinal 1-B (edificio anexo),Peru,1056,,PERÚ 1056,4307-0537/4361 -8054 /66,,NA,SAN TELMO,1,1068,C1068AAL
-58.4032266269794,-34.6260322318379,41,Comisaria Vecinal 3-B,Catamarca,1345,,CATAMARCA 1345,4941-3333/4079,,NA,SAN CRISTOBAL,3,1246,C1246AAC
-58.4159273031661,-34.5877320976925,34,Comisaria Vecinal 14-A,Julian alvarez,2373,,JULIÁN ÁLVAREZ 2373,4821-5056 / 4823-3333,,NA,PALERMO,14,1425,C1425DHI
-58.363990210472,-34.6242793572082,40,Comisaria Vecinal 1-E,Av. Ing. Huergo,1500,,AVENIDA INGENIERO HUERGO 1500,,,NA,PUERTO MADERO,1,1107,C1107APO
-58.3605875827934,-34.6341692070378,12,Comisaria Vecinal 4-C,Pinzon,456,,PINZON 456,4361-4444 /4362-6875,,NA,BOCA,4,1161,C1161ACJ
-58.3749085897491,-34.6380627211311,13,Comisaria Vecinal 4-D (edificio anexo),Montes de Oca,861,,AVENIDA MANUEL A. MONTES DE OCA 861,4301-3333,,NA,BARRACAS,4,1270,C1270AAI
-58.4410843014064,-34.5993205592476,45,Comisaria Vecinal 15-B,Camargo,645,,CAMARGO 645,4854-1747 / 4855-3333,,NA,VILLA CRESPO,15,1414,C1414AHM
