"direccion","lat","lon"
"BACACAY 1709, CABA, Argentina",-34.6234961882353,-58.4553179058824
"GAONA AV. 1537, CABA, Argentina",-34.6095278734694,-58.4504319183673
"CORRIENTES AV. 4508, CABA, Argentina",-34.6041224,-58.4053431
"MONTES DE OCA AV. 616, CABA, Argentina",-34.6391945,-58.3743331
"NICARAGUA 6048, CABA, Argentina",-34.5780880795918,-58.4381426367347
"ESTOMBA 851, CABA, Argentina",-34.5833719183673,-58.4646646326531
"ALVAREZ JONTE AV. 3402, CABA, Argentina",-34.6090356,-58.4831897
"GODOY CRUZ 2651, CABA, Argentina",-34.5722257,-58.4204568
"PARAGUAY 4667, CABA, Argentina",-34.5833242147059,-58.4258342235294
"DONADO 1851, CABA, Argentina",-34.5749032,-58.4729665
"AVENIDA DEL LIBERTADOR 4103, CABA, Argentina",-34.5691404835341,-58.4265030445783
"GAONA AV. 4794, CABA, Argentina",-34.6276899673469,-58.4899081489796
"PARAGUAY 3779, CABA, Argentina",-34.5904755777778,-58.4166806666667
"REGIMIENTO DE PATRICIOS AV. 1000, CABA, Argentina",-34.577648,-58.4271891
"RIVADAVIA AV. 7523, CABA, Argentina",-34.6204106,-58.4412692
"BUCARELLI 2392, CABA, Argentina",-34.5756170897959,-58.4882531204082
"DE LOS CONSTITUYENTES AV. 3550, CABA, Argentina",-34.5865322,-58.4868782
"HUMBOLDT 1445, CABA, Argentina",-34.5869815244898,-58.4377045306122
"SARMIENTO 4006, CABA, Argentina",-34.6049507061225,-58.4214639306122
"OLAZABAL AV. 5290, CABA, Argentina",-34.5596442,-58.458657053353
"AVENIDA DEL LIBERTADOR 4401, CABA, Argentina",-34.5671981,-58.42996
"AGUERO 806, CABA, Argentina",-34.6003664081633,-58.4109245795918
"MONTES DE OCA AV. 702, CABA, Argentina",-34.6391945,-58.3743331
"DEFENSA 998, CABA, Argentina",-34.6194153571429,-58.3714788367347
"CABILDO AV. 2396, CABA, Argentina",-34.5594092238095,-58.4591634380952
"BULNES 331, CABA, Argentina",-34.6070477,-58.4186119
"MONTES DE OCA AV. 695, CABA, Argentina",-34.6391945,-58.3743331
"BRASIL 3195, CABA, Argentina",-34.6345447387755,-58.4091694244898
"MONTES DE OCA AV. 849, CABA, Argentina",-34.6391945,-58.3743331
"CABILDO AV. 3241, CABA, Argentina",-34.5523771326531,-58.4651992693878
"CUENCA 2201, CABA, Argentina",-34.6096776,-58.4881306
"DORREGO AV. 1301, CABA, Argentina",-34.5917642,-58.4474918
"HONDURAS 5670, CABA, Argentina",-34.5928665,-58.4242838
"GORRITI 5033, CABA, Argentina",-34.5890574489796,-58.431470755102
"GORRITI 3956, CABA, Argentina",-34.5955063,-58.4206232
"MONTES DE OCA AV. 1000, CABA, Argentina",-34.6391945,-58.3743331
"PAVON AV. 4102, CABA, Argentina",-34.630712,-58.4204443
"ZELAYA 3185, CABA, Argentina",-34.6013235714286,-58.4107188
"CABILDO AV. 2921, CABA, Argentina",-34.5551414836735,-58.4626054571429
"PUEYRREDON AV. 1341, CABA, Argentina",-34.5949245,-58.4031408
"UGARTECHE 3208, CABA, Argentina",-34.5792751632653,-58.4112764571429
"SAN LUIS 2514, CABA, Argentina",-34.6001487979592,-58.4025895265306
"QUEVEDO 3376, CABA, Argentina",-34.6118695265306,-58.5182050428571
"JUNCAL 2102, CABA, Argentina",-34.5929264,-58.3975805
"CAMPANA 2820, CABA, Argentina",-34.6044504693877,-58.4950862653061
"LAVALLE 343, CABA, Argentina",-34.6019483285714,-58.3717916142857
"CABILDO AV. 4665, CABA, Argentina",-34.5417699571429,-58.4733949428571
"ENTRE RIOS AV. 2139, CABA, Argentina",-34.6227394,-58.3914497
"AVENIDA SANTA FE 2239, CABA, Argentina",-34.5951715,-58.3989656
"AMENABAR 1066, CABA, Argentina",-34.5707387755102,-58.4495181632653
"MENDOZA 2476, CABA, Argentina",-34.5615610591837,-58.4581932693878
"CHILE 477, CABA, Argentina",-34.6159928734694,-58.3727336653061
"RIVADAVIA AV. 6465, CABA, Argentina",-34.6204106,-58.4412692
"CHILE 417, CABA, Argentina",-34.6159647102041,-58.3720582979592
"CORDOBA AV. 2751, CABA, Argentina",-34.5991974,-58.4039401
"MORON 2985, CABA, Argentina",-34.6244194,-58.4739007142857
"CALLAO AV. 702, CABA, Argentina",-34.6007107,-58.392943
"MONTIEL 5142, CABA, Argentina",-34.6883802244898,-58.4774339795918
"HONDURAS 5044, CABA, Argentina",-34.5883955880036,-58.4308093558855
"HUMBERTO 1° 2766, CABA, Argentina",-34.6203507,-58.3663452
"AVELLANEDA AV. 3051, CABA, Argentina",-34.6269093,-58.4738016612245
"AVENIDA SANTA FE 4298, CABA, Argentina",-34.5807766,-58.4226197
"BRASIL 689, CABA, Argentina",-34.6255529020408,-58.3748815673469
"RIVADAVIA AV. 7341, CABA, Argentina",-34.6204106,-58.4412692
"AGUERO 449, CABA, Argentina",-34.6046165122449,-58.4117873306122
"LUNA 1211, CABA, Argentina",-34.6452254,-58.3970487
"MONTES DE OCA AV. 971, CABA, Argentina",-34.6391945,-58.3743331
"FINOCHIETTO ENRIQUE DR. 2181, CABA, Argentina",-34.6302909,-58.3781049
"CABILDO AV. 663, CABA, Argentina",-34.5704965734694,-58.4435052428571
"GUARDIA VIEJA 3468, CABA, Argentina",-34.6023560265306,-58.4137091612245
"PASEO COLON AV. 1353, CABA, Argentina",-34.6146201,-58.3687987
"BRASIL 3088, CABA, Argentina",-34.6343017326531,-58.4074952183673
"BOEDO 697, CABA, Argentina",-34.6208562857143,-58.416682244898
"AREVALO 1488, CABA, Argentina",-34.5827752408163,-58.4426292530612
"CORDOBA AV. 643, CABA, Argentina",-34.5986474857143,-58.3760189428571
"LA PAMPA 1376, CABA, Argentina",-34.5587973714286,-58.4437882081633
"CHARCAS 4005, CABA, Argentina",-34.5859874612245,-58.4199185755102
"AVELLANEDA 548, CABA, Argentina",-34.6144586795918,-58.4386258591837
"CALLAO AV. 602, CABA, Argentina",-34.6018864,-58.3927662
"CUENCA 3356, CABA, Argentina",-34.5990241081633,-58.4970498857143
"OLAZABAL AV. 5501, CABA, Argentina",-34.5596442,-58.458657053353
"BOEDO AV. 432, CABA, Argentina",-34.617760244898,-58.4166767755102
"AVENIDA SANTA FE 902, CABA, Argentina",-34.5953869,-58.3800479
"AVELLANEDA AV. 1240, CABA, Argentina",-34.6186390734694,-58.449420455102
"AVELLANEDA 996, CABA, Argentina",-34.6168933428571,-58.4443547367347
"BOGOTA 70, CABA, Argentina",-34.61267985,-58.4318687
"HUMAHUACA 3302, CABA, Argentina",-34.6035292,-58.4117152
"SALTA 1710, CABA, Argentina",-34.6280497196193,-58.3827013286177
"NAZCA AV. 1235, CABA, Argentina",-34.630944,-58.4704936
"MOSCONI GENERAL AV. 2883, CABA, Argentina",-34.5860266673469,-58.5020111081633
"LA RIOJA 1180, CABA, Argentina",-34.6238507,-58.4070502
"SARACHAGA 4645, CABA, Argentina",-34.632727722449,-58.4914086693878
"JUNIN 1280, CABA, Argentina",-34.5933906530612,-58.3970032571429
"BOGOTA 2960, CABA, Argentina",-34.6223339,-58.4555554
"RIVADAVIA AV. 8451, CABA, Argentina",-34.6204106,-58.4412692
"CUENCA 3420, CABA, Argentina",-34.5983335306122,-58.4976554693878
"HUMBERTO 1° 1815, CABA, Argentina",-34.6203507,-58.3663452
"CAMPANA 2821, CABA, Argentina",-34.6043432326531,-58.4949283836735
"RONDEAU 2965, CABA, Argentina",-34.6356986326531,-58.4051326469388
"CASTRO BARROS AV. 148, CABA, Argentina",-34.6117062,-58.4215177
"BERUTI 3701, CABA, Argentina",-34.5845492,-58.4134361
"SOLER 4501, CABA, Argentina",-34.588089,-58.423251
"CORRIENTES AV. 3202, CABA, Argentina",-34.6041224,-58.4053431
"MENDEZ DE ANDES 538, CABA, Argentina",-34.6132793326531,-58.4420326816327
"RIVERA INDARTE AV. 384, CABA, Argentina",-34.6300861,-58.4622302
"BRANDSEN 805, CABA, Argentina",-34.635684,-58.3648600263424
"REPUBLICA DOMINICANA 3586, CABA, Argentina",-34.5896568714286,-58.4154550571429
"ISABEL LA CATOLICA 362, CABA, Argentina",-34.6356980612245,-58.3738311020408
"CALIFORNIA 3080, CABA, Argentina",-34.6498426932432,-58.3904771297297
"COSTA RICA 3924, CABA, Argentina",-34.591607422449,-58.4182515183673
"LAVALLE 3602, CABA, Argentina",-34.6004713,-58.4163013
"SERRANO 930, CABA, Argentina",-34.5931935714286,-58.4375028571429
"IBERA 2386, CABA, Argentina",-34.5534294571429,-58.4641191142857
"MENDEZ DE ANDES 1170, CABA, Argentina",-34.6166929591837,-58.4509024632653
"AVENIDA DEL LIBERTADOR 8140, CABA, Argentina",-34.5936297,-58.3739013
"OLIDEN 4338, CABA, Argentina",-34.6772141408163,-58.473168455102
"NAZCA AV. 357, CABA, Argentina",-34.6278377571429,-58.4707749428571
"TRIUNVIRATO AV. 3911, CABA, Argentina",-34.5787596,-58.4795473
"PASEO COLON AV. 557, CABA, Argentina",-34.6146201,-58.3687987
"CORVALAN 2990, CABA, Argentina",-34.6651067326531,-58.4758105510204
"AVENIDA ALVAREZ THOMAS 284, CABA, Argentina",-34.581674522449,-58.4481444673469
"CONCORDIA 359, CABA, Argentina",-34.628442144898,-58.4773543530612
"CONGRESO 2113, CABA, Argentina",-34.5539208836735,-58.4597448959184
"TRIUNVIRATO AV. 3771, CABA, Argentina",-34.5858063,-58.4545343
"IBERA 2516, CABA, Argentina",-34.5542576714286,-58.465751
"SALTA 1427, CABA, Argentina",-34.6250735183674,-58.383012677551
"CUBA 2809, CABA, Argentina",-34.53814025,-58.4498263349812
