OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
22408,Palou Ave&Hawes St E-NS/PS,PALUHAW1,PALUHAWS,5866,37.728679,-122.381425,0,HAWES ST,PALOU AVE,NS,E,,0,20210407104457,2396985,125,,POINT (-122.38141 37.728676),78,78,2,9,1
19818,California St&Leavenworth St NE-NS,CALILEA0,CALILEAV,3877,37.791285,-122.415611,0,LEAVENWORTH ST,CALIFORNIA ST,NS,NE,,0,20210407104457,2391420,125,,POINT (-122.415596 37.79128),16,16,6,3,21
20705,Carmel St&Belvedere St SW-MI/SB,CRMLBVD0,CRMLBVDR,4204,37.76092,-122.447631,0,BELVEDERE ST,CARMEL ST,MI,SW,,0,20210407104457,2393641,125,,POINT (-122.44762 37.760914),114,114,7,11,14
19429,Beach St&Mason St SW-NS/PS,BECHMAS0,BECHMASN,3092,37.807407,-122.414125,0,MASON ST,BEACH ST,NS,SW,,1,20210407104457,2390601,125,,POINT (-122.41411 37.807404),99,99,6,3,23
20730,Paul Ave&San Bruno Ave N-MB/SB,PAULSBR1,PAULSBRO,5904,37.723879,-122.401576,0,SAN BRUNO AVE,PAUL AVE,MB,N,,0,20210407104457,2393778,125,,POINT (-122.401566 37.723873),91,91,2,2,25
21856,Williams Ave&3rd St N-FS,WLMS.3S0,WLMS.3ST,6968,37.72938,-122.39295,0,03RD ST,WILLIAMS AVE,FS,N,FL,0,20210407104457,2395533,125,,POINT (-122.39294 37.729374),87,87,2,9,1
21229,Geary St&Powell St NW-FS/BZ,GEARPOW0,GEARPOWL,4757,37.787401,-122.408391,0,POWELL ST,GEARY ST,FS,NW,BZ,1,20210407104457,2393913,125,,POINT (-122.40838 37.787395),19,19,6,3,36
20332,Kansas St&26th St NE-FS/SB,KANS26S0,KANS26ST,5229,37.750834,-122.402121,0,26TH ST,KANSAS ST,FS,NE,,0,20210407104457,2392769,125,,POINT (-122.40211 37.750828),54,54,2,9,26
22618,Diamond St&27TH St SE-NS/PS,DIAM27SE,DIAM27ST,4376,37.746292,-122.435761,0,27TH ST,DIAMOND ST,NS,SE,,0,20210407104457,2396651,125,,POINT (-122.435745 37.74629),84,84,9,5,22
20791,Teresita Blvd&Isola Way S-FS/SB,TEREISL0,TEREISLA,6673,37.741733,-122.450529,0,ISOLA WAY,TERESITA BLVD,FS,S,,0,20210407104457,2393708,125,,POINT (-122.450516 37.74173),72,72,9,8,41
