Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts
"Milk, Harvey Milk Childrens Center",SFUSD,-2,-1,PK,USD PreK,CDC095,3,4,CDC,,"841 ELLIS ST, SAN FRANCISCO CA 94117",6,06075,SAN FRANCISCO,"CA
(37.783802, -122.420105)",36,28858,7,9,9
Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,38684786041420,"1025 14TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.766884, -122.436279)",3,28862,15,5,5
Jewish Community Center San Francisco - Rosenberg Early Childhood Center,Private,-2,-1,PK,Independent / Private,CDC058,3,4,CDC,380504700,"325 ARGUELLO BLVD, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.784588, -122.459488)",11,54,11,6,2
Eureka Learning Center,Private,-2,-1,PK,Independent / Private,CDC035,3,4,CDC,38684787044605,"464 DIAMOND ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.754967, -122.437004)",22,28862,2,4,5
Noriega Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS085,3,10,PS,38684780117473,"1775 44TH AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.753834, -122.503654)",35,56,1,8,3
Marin Preparatory School,Private,0,8,K-8,Independent / Private,IND271,5,13,IND,,"117 DIAMOND ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.760124, -122.436798)",3,28862,2,4,5
Montessori House Of Children,Private,0,1,K-1,Independent / Private,IND276,5,6,IND,380501318,"1187 FRANKLIN ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.785046, -122.423416)",41,28858,13,9,11
West Portal Lutheran School,Private,0,8,K-8,Independent / Private,IND337,5,13,IND,38684786980874,"200 SLOAT BLVD, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.735092, -122.473999)",40,29491,1,8,4
Economic Opportunity Council Sf - Delta Preschool,Private,-2,-1,PK,Independent / Private,CDC028,3,4,CDC,380504362,"300 LELAND AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.713379, -122.409553)",39,309,9,7,8
Teaching Tots Preschool,Private,-2,-1,PK,Independent / Private,CDC144,3,4,CDC,,"728 PACIFIC AVE STE 706, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.797092, -122.407471)",4,308,3,1,10
Sutro Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS113,5,10,PS,38684786041644,"235 12TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.783604, -122.471451)",11,54,11,6,2
"Marshall, Thurgood Marshall High School",SFUSD,9,12,9-12,USD Grades 9-12,PS073,14,17,PS,38684783830403,"45 CONKLING ST, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.736309, -122.401649)",1,58,10,3,8
Francisco Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS034,11,13,PS,38684786059844,"2190 POWELL ST, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.804569, -122.410965)",23,308,3,1,10
Star Of The Sea School,Private,0,8,K-8,Independent / Private,IND326,5,13,IND,38684786980742,"360 09TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.781563, -122.467285)",11,54,11,6,2
San Francisco University High School,Private,9,12,9-12,Independent / Private,IND321,14,17,IND,,"3065 JACKSON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.790657, -122.445351)",27,29490,13,6,1
Argonne Early Education School,SFUSD,-2,0,PK-TK,USD PreK/TK,PS004,3,5,PS,384000981,"750 16TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.773968, -122.47406)",26,54,11,6,2
"Flynn, Leonard Flynn Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS033,5,10,PS,38684786041347,"3125 CESAR CHAVEZ ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.747746, -122.411964)",2,28859,2,7,7
Hamlin School,Private,0,8,K-8,Independent / Private,IND247,5,13,IND,38684786997829,"2120 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7948, -122.432495)",27,29490,13,9,1
Little Star Preschool Too,Private,-2,-1,PK,Independent / Private,CDC080,3,4,CDC,384000093,"1105 QUINTARA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.748341, -122.47757)",35,29491,1,8,3
Sweet Peas Preschool - West,Private,-2,-1,PK,Independent / Private,CDC143,3,4,CDC,,"87 MELROSE AVE, SAN FRANCISCO, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.733597, -122.444008)",40,63,9,7,4
