ticket,area,direccion_entidad,Seccion,Manzana,Parcela,fecha_inspeccion
DGFyC-643955,SGO Fiscalización Crítica,BACACAY 1709,57,20,024E,20/03/2021
DGFyC-645881,SGO Fiscalización Nocturna,GAONA AV. 1537,59,169,31,20/03/2021
DGFyC-645877,SGO Fiscalización Nocturna,CORRIENTES AV. 4508,17,14,001E,20/03/2021
DGFyC-643004,SGO Fiscalización Crítica,MONTES DE OCA AV. 616,8,2,004j,20/03/2021
DGFyC-642602,SGO Fiscalización Nocturna,NICARAGUA 6048,35,63,7,21/03/2021
DGFyC-644029,SGO Fiscalización Crítica,ESTOMBA 851,49,117,7,20/03/2021
DGFyC-644767,SGO Fiscalización Nocturna,ALVAREZ JONTE AV. 3402,79,128A,16,21/03/2021
DGFyC-644311,SGO Fiscalización Nocturna,GODOY CRUZ 2651,19,176,13,21/03/2021
DGFyC-644663,SGO Fiscalización Crítica,PARAGUAY 4667,19,142,20,20/03/2021
DGFyC-641351,SGO Fiscalización Nocturna,DONADO 1851,51,100,002c,20/03/2021
DGFyC-645867,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4103,23,135,000A,19/03/2021
DGFyC-645882,SGO Fiscalización Nocturna,GAONA AV. 4794,77,86,11,20/03/2021
DGFyC-632361,SGO Fiscalización Crítica,PARAGUAY 3779,,,,20/03/2021
DGFyC-643086,SGO Fiscalización Crítica,REGIMIENTO DE PATRICIOS AV. 1000,10,63,011A,20/03/2021
DGFyC-645370,SGO Fiscalización Nocturna,RIVADAVIA AV. 7523,65,10,14,21/03/2021
DGFyC-644694,SGO Fiscalización Crítica,BUCARELLI 2392,51,37,38,20/03/2021
DGFyC-644678,SGO Fiscalización Nocturna,DE LOS CONSTITUYENTES AV. 3550,61,132B,1,21/03/2021
DGFyC-643112,SGO Fiscalización Nocturna,HUMBOLDT 1445,33,079B,11,21/03/2021
DGFyC-644734,SGO Fiscalización Nocturna,SARMIENTO 4006,17,79,001K,20/03/2021
DGFyC-644697,SGO Fiscalización Crítica,OLAZABAL AV. 5290,51,35,8,20/03/2021
DGFyC-645865,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4401,23,135,000A,19/03/2021
DGFyC-645879,SGO Fiscalización Nocturna,AGUERO 806,13,55,022a,20/03/2021
DGFyC-643001,SGO Fiscalización Crítica,MONTES DE OCA AV. 702,8,1,008a,20/03/2021
DGFyC-644197,SGO Fiscalización Nocturna,DEFENSA 998,4,35,019e,21/03/2021
DGFyC-636212,SGO Fiscalización Nocturna,CABILDO AV. 2396,39,100,1,21/03/2021
DGFyC-645878,SGO Fiscalización Nocturna,BULNES 331,13,3,12,20/03/2021
DGFyC-643002,SGO Fiscalización Crítica,MONTES DE OCA AV. 695,16,081B,039c,20/03/2021
DGFyC-644552,SGO Fiscalización Nocturna,BRASIL 3195,32,87,021A,21/03/2021
DGFyC-642999,SGO Fiscalización Crítica,MONTES DE OCA AV. 849,16,80,29,20/03/2021
